ID,age,gender,ses,poli,civicengage1,colleff1_1,colleff2_1,affectpol1,polar1,perpolarlay1,perpolarelite1,media1_tv1,media2_newspaper1,media3_sns1,media4_youtube1,media5_community1,media6_other1,media6_othertext1,civicengage2,colleff1_2,colleff2_2,voteintention2,media1_tv2,media2_newspaper2,media3_sns2,media4_youtube2,media5_community2,media6_other2,media6_othertext2,media1_tv_perc2,media2_newspaper_perc2,media3_sns_perc2,media4_youtube_perc2,media5_community_perc2,media6_other_perc2,media6_othertext_perc2,affectpol2,polar2,perpolarlay2,perpolarelite2,civicengage3,colleff1_3,colleff2_3,vote3,media1_tv3,media2_newspaper3,media3_sns3,media4_youtube3,media5_community3,media6_other3,media6_othertext3,media1_tv_perc3,media2_newspaper_perc3,media3_sns_perc3,media4_youtube_perc3,media5_community_perc3,media6_other_perc3,media6_othertext_perc3,affectpol3,polar3,perpolarlay3,perpolarelite3
1,41,1,4,5,0,3,3,9,1,3,3,1,2,NA,NA,NA,NA,NA,12,3,2,1,1,NA,NA,NA,NA,NA,NA,84,15,1,0,0,NA,NA,41,0,6,3,0,4,1,1,NA,2,NA,NA,NA,NA,NA,0,90,10,0,0,0,0,19,0,6,3
2,54,1,5,4,21,4,5,62,1,7,8,1,NA,NA,NA,NA,NA,NA,7,3,4,1,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,NA,NA,46,1,8,8,10,3,4,1,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,0,39,0,7,7
3,51,1,7,7,69,4,4,73,1,5,1,NA,2,3,4,NA,NA,NA,62,5,4,1,NA,2,3,NA,5,NA,NA,5,15,60,15,5,NA,NA,96,1,5,4,73,4,4,1,NA,2,3,NA,NA,NA,NA,15,15,20,30,20,0,0,71,5,6,6
4,60,2,6,8,46,4,3,12,4,1,2,1,NA,3,4,NA,NA,NA,50,4,3,3,NA,NA,3,NA,NA,NA,NA,10,0,70,10,10,NA,NA,0,1,4,0,50,3,3,2,1,NA,3,NA,NA,NA,NA,40,0,60,0,0,0,0,0,0,3,1
5,64,1,4,6,45,4,4,73,2,2,1,NA,NA,3,4,NA,NA,NA,66,4,4,3,NA,2,NA,4,NA,NA,NA,0,60,0,40,0,NA,NA,64,0,2,2,45,3,4,1,NA,NA,NA,4,NA,NA,NA,0,5,20,60,0,0,15,13,0,3,2
6,69,1,3,2,25,4,3,62,2,7,4,1,NA,NA,NA,NA,NA,NA,25,5,5,1,1,2,NA,NA,5,NA,NA,35,20,15,10,20,NA,NA,68,3,6,6,50,4,4,2,1,NA,NA,NA,5,NA,NA,60,20,0,10,10,0,0,65,0,6,6
7,64,2,7,5,34,5,5,34,0,3,7,1,NA,NA,4,NA,NA,NA,64,4,4,2,NA,NA,3,NA,NA,NA,NA,0,0,100,0,0,NA,NA,1,0,0,0,52,4,5,1,NA,NA,NA,NA,5,NA,NA,0,0,100,0,0,0,0,0,0,4,9
8,64,2,4,1,76,4,4,54,3,8,4,1,NA,NA,4,NA,NA,NA,75,4,4,1,1,NA,NA,4,5,NA,NA,30,10,10,30,20,NA,NA,64,3,9,7,66,4,5,1,1,NA,NA,4,NA,NA,NA,40,10,0,40,10,0,0,60,3,6,7
9,45,1,3,5,90,5,5,80,0,6,6,1,2,NA,4,5,NA,NA,71,5,5,1,1,2,NA,4,5,NA,NA,30,10,0,30,30,NA,NA,90,1,6,6,50,5,5,1,1,2,NA,4,5,NA,NA,20,20,0,40,20,0,0,50,2,6,6
10,37,1,6,6,15,3,4,17,3,6,6,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,52,1,5,4,64,4,4,50,1,5,5,1,2,NA,NA,NA,NA,NA,50,3,3,1,NA,2,NA,NA,NA,NA,NA,20,80,0,0,0,NA,NA,21,1,6,6,50,4,4,1,NA,NA,NA,NA,NA,6,포털사이트,50,30,0,0,0,20,0,0,1,0,0
12,65,2,5,6,29,4,2,39,2,4,6,1,2,NA,NA,NA,NA,NA,58,4,2,1,1,2,NA,NA,NA,NA,NA,75,25,0,0,0,NA,NA,5,1,1,3,60,4,4,1,1,2,NA,NA,NA,NA,NA,50,45,0,1,0,0,4,12,3,5,5
13,58,2,3,4,41,4,5,0,1,5,6,NA,NA,NA,NA,5,NA,NA,0,4,5,1,NA,NA,NA,NA,5,NA,NA,0,0,0,30,70,NA,NA,84,1,5,5,17,5,5,1,NA,NA,NA,4,5,NA,NA,5,0,0,85,10,0,0,77,3,5,5
14,49,1,8,5,71,4,4,35,1,0,0,1,2,3,NA,NA,NA,NA,75,4,4,1,1,2,3,NA,5,NA,NA,10,10,20,10,50,NA,NA,51,1,0,1,56,3,3,1,1,2,NA,4,NA,NA,NA,50,20,10,10,10,0,0,25,1,0,0
15,63,2,5,5,2,4,2,0,1,6,8,1,NA,NA,NA,NA,NA,NA,2,4,2,1,NA,2,NA,NA,NA,NA,NA,30,70,0,0,0,NA,NA,0,1,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,60,1,8,5,100,4,5,77,1,7,7,1,2,3,4,5,NA,NA,90,4,5,1,1,2,3,4,5,NA,NA,30,20,20,20,10,NA,NA,70,1,5,6,70,5,5,1,1,2,3,4,5,NA,NA,30,35,15,5,10,0,5,50,2,6,6
17,47,2,7,5,52,4,5,44,1,0,0,1,NA,NA,NA,NA,NA,NA,62,4,3,1,1,NA,NA,NA,NA,NA,NA,40,10,20,10,20,NA,NA,26,1,1,1,60,4,4,1,NA,NA,3,NA,NA,NA,NA,20,20,10,30,10,0,10,55,0,1,0
18,45,1,5,4,68,4,4,40,0,4,4,1,2,NA,4,NA,NA,NA,70,4,5,1,1,2,NA,4,NA,NA,NA,10,20,5,60,5,NA,NA,25,0,3,3,52,4,4,1,NA,2,NA,4,5,NA,NA,10,5,10,60,10,0,5,11,0,2,5
19,66,2,7,8,64,4,4,65,4,7,5,NA,NA,NA,4,NA,NA,NA,61,4,4,1,NA,NA,NA,4,NA,NA,NA,10,20,20,40,10,NA,NA,20,6,5,4,43,2,4,1,NA,NA,NA,4,NA,NA,NA,30,20,20,20,10,0,0,37,7,3,4
20,57,1,5,5,74,4,5,73,1,4,0,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
